path;file;experiment_group;treatment;replicate_technical;replicate_biological;overlapping_tiles
2020705_IMR90_young_untreated/2020-07-08_rep3/7e2945e314196b8c7998afbb09526fd1.h5;7e2945e314196b8c7998afbb09526fd1;2020705_IMR90_young_untreated;young;3;1;TRUE
2020705_IMR90_young_untreated/2020-07-05_rep1/57a7d020522f784dca80e052b20eab36.h5;57a7d020522f784dca80e052b20eab36;2020705_IMR90_young_untreated;young;1;1;TRUE
2020705_IMR90_young_untreated/2020-07-07_rep2/0ccf6936085070c4a9f2301009af738c.h5;0ccf6936085070c4a9f2301009af738c;2020705_IMR90_young_untreated;young;2;1;TRUE
2020705_IMR90_young_untreated/2020-07-07_rep2/109f896964d0b8763f0e4b9c9f1a235c.h5;109f896964d0b8763f0e4b9c9f1a235c;2020705_IMR90_young_untreated;young;2;1;TRUE
2020705_IMR90_young_untreated/2020-07-07_rep2/ef9b8dbc30c16f3fdd0613c6966814b7.h5;ef9b8dbc30c16f3fdd0613c6966814b7;2020705_IMR90_young_untreated;young;2;1;TRUE
20210826_IMR90_6d_ICM_young/26.08.21_rep2/c1283c4c5f64969061ae810e3926bea5.h5;c1283c4c5f64969061ae810e3926bea5;20210826_IMR90_6d_ICM_young;6d_icm;2;2;TRUE
20210826_IMR90_6d_ICM_young/26.08.21_rep1/36bfcb4eadfa20fc35ba0dd0df28b845.h5;36bfcb4eadfa20fc35ba0dd0df28b845;20210826_IMR90_6d_ICM_young;6d_icm;1;2;TRUE
20210826_IMR90_6d_ICM_young/26.08.21_rep3/e6c346fc90ec16f70c65f9fd7cee4250.h5;e6c346fc90ec16f70c65f9fd7cee4250;20210826_IMR90_6d_ICM_young;6d_icm;3;2;TRUE
20210826_IMR90_6d_ICM_young/27.08.21_rep5/14d3986b68c6de024defb99d5a940512.h5;14d3986b68c6de024defb99d5a940512;20210826_IMR90_6d_ICM_young;6d_icm;5;2;TRUE
2020702_IMR90_9d_ICM_young/2020-07-04_rep3/70f7e5e743a3c0796fa7beb80a2b9d84.h5;70f7e5e743a3c0796fa7beb80a2b9d84;2020702_IMR90_9d_ICM_young;9d_icm;3;1;TRUE
